length	RPM
0	0
1	1.95179366324424
2	2.10793715630377
3	2.10793715630377
4	2.10793715630377
5	2.10793715630377
6	2.10793715630377
7	2.10793715630377
8	2.10793715630377
9	2.10793715630377
10	2.10793715630377
11	2.10793715630377
12	2.10793715630377
13	2.10793715630377
14	2.10793715630377
15	2.10793715630377
16	2.10793715630377
17	2.10793715630377
18	0.0780717465297694
19	0
20	0
21	0
22	0.0780717465297694
23	0.0780717465297694
24	0.0780717465297694
25	0.858789211827464
26	0.936860958357233
27	1.014932704887
28	1.014932704887
29	1.014932704887
30	1.014932704887
31	1.014932704887
32	1.014932704887
33	1.014932704887
34	1.014932704887
35	1.014932704887
36	1.014932704887
37	1.014932704887
38	1.014932704887
39	1.24914794447631
40	0.390358732648847
41	0.312286986119078
42	0.312286986119078
43	0.780717465297694
44	1.17107619794654
45	1.24914794447631
46	2.49829588895262
47	2.8105828750717
48	53.4791463728922
49	72.6847960192157
50	85.2543472105086
51	99.3072615858672
52	105.631073054779
53	128.89645352065
54	163.404165486806
55	271.143175697887
56	371.153083002519
57	420.182139823214
58	464.526891852122
59	493.881868547315
60	526.359715103699
61	549.234736836921
62	577.106350348049
63	626.369622408326
64	670.324015704586
65	702.099216542201
66	739.027152650782
67	767.054909654968
68	808.901365794924
69	815.927822982603
70	818.894549350734
71	820.534056027859
72	824.515715100877
73	833.181678965681
74	834.430826910158
75	834.274683417098
76	835.679974854634
77	843.252934268022
78	843.64329300067
79	863.317373126172
80	864.098090591469
81	862.302440421285
82	857.774279122558
83	854.963696247487
84	854.573337514838
85	853.792620049541
86	853.402261316892
87	839.739705674183
88	494.506442519553
89	411.516175958409
90	335.396223091885
91	239.289903113741
92	226.3299931898
93	215.634163915221
94	204.391832414935
95	73.5435852310432
96	71.2014328351501
97	82.9121948146156
98	92.2027326516583
99	78.4621052624189
100	93.7641675822538
101	112.969817228577
102	181.360667188652
103	241.632055509634
104	257.012189575998
105	262.94564231226
106	273.329184600719
107	294.174340924166
108	302.840304788969
109	334.771649119645
110	382.083127516685
111	484.98168944292
112	551.108458753634
113	640.500608530211
114	794.848451419563
115	924.057191926329
116	1073.79880177043
117	1220.96404397904
118	1539.8090568066
119	1788.23335426433
120	1943.43998636551
121	1975.44940244271
122	1980.52406596715
123	2017.45200207573
124	2090.60522857424
125	2155.63899343373
126	2179.37280437882
127	2199.67145847657
128	2213.80244459846
129	2226.2158522967
130	2234.49145742886
131	2203.49697405653
132	2208.41549408791
133	2207.63477662261
134	2188.50719872282
135	2114.57325475895
136	2216.22266874089
137	2276.33791356883
138	2289.92239746502
139	2282.58365329121
140	2234.6476009219
141	2150.25204292313
142	2146.58267083622
143	2067.88635033398
144	2017.13971508961
145	1963.66056871672
146	1691.03402983477
